REPO_PATH: code_lists/conditions/diabetes/all_diabetes_snomed.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/conditions/diabetes/all_diabetes_snomed.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/conditions/diabetes/all_diabetes_snomed.csv
FILE_NAME: all_diabetes_snomed.csv

CONTENT_START
conceptId,term,category,qof
1003605004,Glaucoma suspect due to diabetes mellitus type 2 (disorder),type 2,0
100631000000108,O/E - right eye background diabetic retinopathy,unspecified,0
100641000000104,O/E - left eye background diabetic retinopathy,unspecified,0
100651000000101,O/E - right eye preproliferative diabetic retinopathy,unspecified,0
100661000000103,O/E - left eye preproliferative diabetic retinopathy,unspecified,0
100671000000105,O/E - right eye proliferative diabetic retinopathy,unspecified,0
100681000000107,O/E - left eye proliferative diabetic retinopathy,unspecified,0
100691000000109,O/E - left eye diabetic maculopathy,unspecified,0
101951000000100,Diabetic retinopathy screening not indicated,unspecified,0
101961000000102,Diabetic foot examination not indicated,unspecified,0
102141000000105,Diabetes key contact,unspecified,0
102161000000106,Patient held diabetic record issued,unspecified,0
102261000000104,Seen in diabetic foot clinic,unspecified,0
102441000000101,Under care of diabetologist,unspecified,0
102451000000103,Under care of diabetes specialist nurse,unspecified,0
1024511000000105,Seen by diabetes specialist nurse (finding),unspecified,0
1024521000000104,Seen by diabetes specialist nurse ,unspecified,0
1024551000000109,Under care of hospital-based diabetes specialist nurse (finding),unspecified,0
1024561000000107,Under care of hospital-based diabetes specialist nurse ,unspecified,0
1024571000000100,Under care of community-based diabetes specialist nurse (finding),unspecified,0
1024581000000103,Under care of community-based diabetes specialist nurse ,unspecified,0
102491000000106,Under care of diabetic foot screener,unspecified,0
102621000119101,Skin ulcer due to type 2 diabetes mellitus,type 2,0
102781000119107,Sensory neuropathy due to type 1 diabetes mellitus (disorder),type 1,0
102961000000109,Exception reporting: diabetes quality indicators,unspecified,0
102971000000102,Excepted from diabetes quality indicators: Patient unsuitable,unspecified,0
102981000000100,Excepted from diabetes quality indicators: Informed dissent,unspecified,0
1033281000000100,Expert patient education versus routine treatment First Steps diabetes self-management programme completed (situation),unspecified,0
1033291000000103,X-PERT (expert patient education versus routine treatment) First Steps diabetes self-management programme completed ,unspecified,0
103981000119101,Proliferative diabetic retinopathy following surgery,unspecified,0
104011000000100,Type 1 diabetes mellitus with exudative maculopathy,type 1,0
104021000000106,Type 2 diabetes mellitus with exudative maculopathy,type 2,0
104881000000101,Patient on maximal tolerated therapy for diabetes,unspecified,0
104941000119109,Retinal ischemia due to type 1 diabetes mellitus,type 1,0
104951000119106,Vitreous haemorrhage due to type 1 diabetes mellitus,type 1,0
104961000119108,Retinal ischemia due to type 2 diabetes mellitus,type 2,0
104971000000106,Diabetic retinopathy 12 month review,unspecified,0
1051101000000103,Pregnancy and insulin-dependent diabetes mellitus,type 1,0
1051111000000101,Pregnancy and non-insulin-dependent diabetes mellitus,type 2,0
105131000000108,Diabetic foot examination not indicated,unspecified,0
105261000000105,Diabetes key contact,unspecified,0
105271000000103,Patient held diabetic record issued,unspecified,0
105401000119101,Diabetes mellitus due to pancreatic injury (disorder),unspecified,0
1054201000000109,Seen in diabetes preconception counselling clinic,unspecified,0
1054211000000106,Seen in community diabetes antenatal clinic,unspecified,0
1054221000000100,Seen in hospital diabetes antenatal clinic,unspecified,0
1054231000000103,Referral to community diabetes antenatal clinic,unspecified,0
1054241000000107,Referral to hospital diabetes antenatal clinic,unspecified,0
105491000000103,Under care of diabetes specialist nurse,unspecified,0
105521000000100,Under care of diabetic foot screener,unspecified,0
105881000000102,Exception reporting: diabetes quality indicators,unspecified,0
105891000000100,Excepted from diabetes quality indicators: Patient unsuitable,unspecified,0
1062921000000105,Diabetes Therapy Outcome Measure activity score (observable entity),unspecified,0
1062931000000107,Diabetes Therapy Outcome Measure carer wellbeing score (observable entity),unspecified,0
1062941000000103,Diabetes Therapy Outcome Measure impairment score (observable entity),unspecified,0
