REPO_PATH: code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/antiplatelet medications/antiplatelet_dmd.csv
FILE_NAME: antiplatelet_dmd.csv

CONTENT_START
dmd_code,term
775314005,Clopidogrel
775646000,Dipyridamole
774669008,Dipyridamole + Aspirin
774669008,Dipyridamole + Aspirin
775247004,Cilostazol
1208366007,Aspirin + Isosorbide mononitrate
777298009,Prasugrel
777766002,Ticagrelor
28367311000001105,Bisoprolol + Aspirin
1005311000001106,Clopidogrel 75mg tablets 28 tablet (product)
1005911000001107,Aspirin 75mg gastro-resistant tablets 28 tablet (product)
10062911000001106,Aspirin 75mg effervescent tablets 28 tablet (product)
10063011000001103,Aspirin 75mg effervescent tablets (IVAX Pharmaceuticals UK Ltd) (product)
10063111000001102,Aspirin 75mg effervescent tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet (product)
10063211000001108,Aspirin 75mg effervescent tablets (A A H Pharmaceuticals Ltd) (product)
10063311000001100,Aspirin 75mg effervescent tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 x 14 tablets (product)
10064711000001104,Aspirin 75 mg effervescent tablet 1 tablet tablet
10102901000001102,Efient
10113701000001105,PRASUGREL (product)
10160101000001100,EFIENT 5mg tablets (product)
10160201000001107,PRASUGREL 5mg tablets (product)
10160301000001103,EFIENT 10mg tablets (product)
10160401000001106,PRASUGREL 10mg tablets (product)
10258311000001106,Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd) 28 tablet (product)
10365001000001100,Grepid
10401001000001109,GREPID 75mg tablets
1041711000001104,Aspirin 75mg tablets 28 tablet (product)
104211000001106,Dipyridamole 50mg/5ml oral suspension sugar free (Unichem Plc) (product)
10450211000001102,Aspirin 75mg gastro-resistant tablets (Arrow Generics Ltd) (product)
10450311000001105,Aspirin 75mg gastro-resistant tablets (Arrow Generics Ltd) 56 tablet (product)
10484111000001109,Clopidogrel 75mg tablets (PI) (Dowelhurst Ltd) (product)
10484411000001104,Clopidogrel 75mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
10485911000001106,Plavix 75mg tablets (PI) (Dowelhurst Ltd) (product)
10486011000001103,Plavix 75mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
1049811000001108,Dipyridamole 10mg/2ml solution for injection ampoules 5 ampoule (product)
10511211000001106,Clopidogrel 75mg tablets (PI) (Waymade Ltd) (product)
10511311000001103,Clopidogrel 75mg tablets (PI) (Waymade Ltd) 28 tablet (product)
1066411000001109,Dipyridamole 25mg tablets 100 tablet (product)
10667611000001106,Aspirin 325mg / Caffeine 15mg tablets 8 tablet (product)
1068701000001101,Nu-Seals Aspirin 75mg e/c tablet
10714001000001104,Brilique
1076911000001106,Dipyridamole 100mg tablets 100 tablet (product)
1086301000001102,Aspirin 75mg e/c tablet - product
108979001,Clopidogrel
10998301000001100,BRILIQUE 90mg tablets
11006501000001109,TICAGRELOR 90mg tablets
11020511000001104,Dipyridamole 25mg tablets (Dr Reddy's Labs) (product)
11020611000001100,Dipyridamole 25mg tablets (Dr Reddy's Labs) 84 tablet (product)
11020711000001109,Dipyridamole 100mg tablets (Dr Reddy's Labs) (product)
11020811000001101,Dipyridamole 100mg tablets (Dr Reddy's Labs) 84 tablet (product)
1103711000001101,Dipyridamole 100mg tablets 84 tablet (product)
11062701000001103,TICAGRELOR
1113811000001107,Aspirin 75mg dispersible tablets 100 tablet (product)
113231000001100,Clopidogrel 75mg tablets (product)
115501000001106,Persantin 100mg tablet
1163911000001103,Aspirin 75mg dispersible tablets 32 tablet (product)
11938011000001104,Dipyridamole 100mg/5ml oral suspension sugar free 1 ml (product)
11938111000001103,Dipyridamole 100mg/5ml oral suspension sugar free (Special Order) (product)
11938211000001109,Dipyridamole 100mg/5ml oral suspension sugar free (Special Order) 1 ml (product)
11945111000001109,Dipyridamole 100mg/5ml oral suspension sugar free (product)
11974001000001108,Molita
12010211000001109,Dipyridamole 10mg/5ml oral suspension 1 ml (product)
12010311000001101,Dipyridamole 10mg/5ml oral suspension (Special Order) (product)
12010411000001108,Dipyridamole 10mg/5ml oral suspension (Special Order) 1 ml (product)
12010911000001100,Dipyridamole 10mg/5ml oral solution 1 ml (product)
12011211000001103,Dipyridamole 10mg/5ml oral solution (Special Order) (product)
12011311000001106,Dipyridamole 10mg/5ml oral solution (Special Order) 1 ml (product)
12011811000001102,Dipyridamole 12.5mg/5ml oral suspension 1 ml (product)
12011911000001107,Dipyridamole 12.5mg/5ml oral suspension (Special Order) (product)
12012011000001100,Dipyridamole 12.5mg/5ml oral suspension (Special Order) 1 ml (product)
12012411000001109,Dipyridamole 12.5mg/5ml oral solution 1 ml (product)
12012711000001103,Dipyridamole 12.5mg/5ml oral solution (Special Order) (product)
12013111000001105,Dipyridamole 12.5mg/5ml oral solution (Special Order) 1 ml (product)
12014511000001103,Dipyridamole 15mg/5ml oral suspension 1 ml (product)
12014911000001105,Dipyridamole 15mg/5ml oral suspension (Special Order) (product)
12015111000001106,Dipyridamole 15mg/5ml oral suspension (Special Order) 1 ml (product)
12015911000001109,Dipyridamole 15mg/5ml oral solution 1 ml (product)
12016511000001109,Dipyridamole 15mg/5ml oral solution (Special Order) (product)
12017011000001103,Dipyridamole 15mg/5ml oral solution (Special Order) 1 ml (product)
12018011000001102,Dipyridamole 20mg/5ml oral suspension 1 ml (product)
12018111000001101,Dipyridamole 20mg/5ml oral suspension (Special Order) (product)
12018411000001106,Dipyridamole 20mg/5ml oral suspension (Special Order) 1 ml (product)
12019211000001102,Dipyridamole 20mg/5ml oral solution 1 ml (product)
12021211000001109,Dipyridamole 20mg/5ml oral solution (Special Order) (product)
12021511000001107,Dipyridamole 20mg/5ml oral solution (Special Order) 1 ml (product)
12023211000001108,Dipyridamole 30mg/5ml oral suspension 1 ml (product)
12023911000001104,Dipyridamole 30mg/5ml oral suspension (Special Order) (product)
12024211000001106,Dipyridamole 30mg/5ml oral suspension (Special Order) 1 ml (product)
12025311000001104,Dipyridamole 30mg/5ml oral solution 1 ml (product)
12025511000001105,Dipyridamole 30mg/5ml oral solution (Special Order) (product)
