REPO_PATH: code_lists/medications/blood pressure lowering/acei_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/acei_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/acei_dmd.csv
FILE_NAME: acei_dmd.csv

CONTENT_START
dmd_code,term
776550005,Lisinopril
775039005,Captopril
775246008,Cilazapril
129486004,Perindopril
777819006,Trandolapril
775758007,Enalapril
775924006,Felodipine + Ramipril
776042008,Fosinopril
776229002,Lisinopril + Hydrochlorothiazide
777379009,Quinapril
777395009,Ramipril
395439003,Perindopril + Indapamide
18037611000001109,Co-zidocapt
777820000,Verapamil + Trandolapril
775759004,Enalapril + Hydrochlorothiazide
776236001,Quinapril + Hydrochlorothiazide
776308009,Imidapril
22209011000001101,Perindopril erbumine
22209111000001100,Perindopril arginine
22209211000001106,Perindopril tosilate
22209311000001103,Perindopril arginine + Indapamide
22209411000001105,Perindopril erbumine + Indapamide
22209511000001109,Perindopril tosilate + Indapamide
23983911000001106,Perindopril erbumine + Amlodipine
100301000001109,Trandolapril 500micrograms capsule - product
10040611000001108,Enalapril + Hydrochlorothiazide (product)
10045511000001104,Hydrochlorothiazide + Quinapril (product)
1012611000001107,Fosinopril 20mg tablets 28 tablet (product)
10201311000001108,Imidapril (product)
102611000001100,Enalapril 2.5mg tablets (Zentiva Pharma UK Ltd)
10290011000001104,Lisinopril 10mg tablets (Relonchem Ltd) (product)
10290111000001103,Lisinopril 10mg tablets (Relonchem Ltd) 28 tablet (product)
10290411000001108,Lisinopril 2.5mg tablets (Relonchem Ltd) (product)
10290611000001106,Lisinopril 2.5mg tablets (Relonchem Ltd) 28 tablet (product)
10291011000001108,Lisinopril 20mg tablets (Relonchem Ltd) (product)
10291311000001106,Lisinopril 20mg tablets (Relonchem Ltd) 28 tablet (product)
10291711000001105,Lisinopril 5mg tablets (Relonchem Ltd) (product)
10291911000001107,Lisinopril 5mg tablets (Relonchem Ltd) 28 tablet (product)
10294511000001103,Fosinopril 10mg tablets (Focus Pharmaceuticals Ltd) (product)
10294611000001104,Fosinopril 10mg tablets (Focus Pharmaceuticals Ltd) 28 tablet (product)
10294711000001108,Fosinopril 20mg tablets (Focus Pharmaceuticals Ltd) (product)
10295011000001105,Fosinopril 20mg tablets (Focus Pharmaceuticals Ltd) 28 tablet (product)
10296511000001109,Ramipril 5mg capsules (Focus Pharmaceuticals Ltd) (product)
10296611000001108,Ramipril 5mg capsules (Focus Pharmaceuticals Ltd) 28 capsule (product)
10296711000001104,Ramipril 2.5mg capsules (Focus Pharmaceuticals Ltd) (product)
10296811000001107,Ramipril 2.5mg capsules (Focus Pharmaceuticals Ltd) 28 capsule (product)
10297111000001102,Ramipril 10mg capsules (Focus Pharmaceuticals Ltd) (product)
10297211000001108,Ramipril 10mg capsules (Focus Pharmaceuticals Ltd) 28 capsule (product)
10297411000001107,Ramipril 1.25mg capsules (Focus Pharmaceuticals Ltd) (product)
10297611000001105,Ramipril 1.25mg capsules (Focus Pharmaceuticals Ltd) 28 capsule (product)
1038311000001106,Quinapril 20mg tablets 28 tablet (product)
10385711000001103,Lisinopril 2.5mg tablets (Arrow Generics Ltd) (product)
10385811000001106,Lisinopril 2.5mg tablets (Arrow Generics Ltd) 28 tablet (product)
10386011000001109,Lisinopril 5mg tablets (Arrow Generics Ltd) (product)
10386211000001104,Lisinopril 5mg tablets (Arrow Generics Ltd) 28 tablet (product)
10386411000001100,Lisinopril 10mg tablets (Arrow Generics Ltd) (product)
10386611000001102,Lisinopril 10mg tablets (Arrow Generics Ltd) 28 tablet (product)
10386911000001108,Lisinopril 20mg tablets (Arrow Generics Ltd) (product)
10387111000001108,Lisinopril 20mg tablets (Arrow Generics Ltd) 28 tablet (product)
10405411000001104,Enalapril 2.5mg tablets (Arrow Generics Ltd) (product)
