REPO_PATH: code_lists/medications/blood pressure lowering/arb_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/arb_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/arb_dmd.csv
FILE_NAME: arb_dmd.csv

CONTENT_START
dmd_code,term
12089001000001107,Actelsar HCT
24411411000001100,Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd) (product)
24413311000001108,Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets (product)
24412511000001109,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd) (product)
24412811000001107,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd) 28 tablet 2 x 14 tablets (product)
24413611000001103,Actelsar HCT 80mg/25mg tablets (Accord Healthcare Ltd)
24413711000001107,Actelsar HCT 80mg/25mg tablets (Accord Healthcare Ltd) 28 tablet 2 x 14 tablets
3333301000001107,Amias
9205101000001108,Amias (product)
3333201000001103,Amias 16mg tablet
19864911000001102,Amias 16mg tablets (Lexon (UK) Ltd) (product)
19865011000001102,Amias 16mg tablets (Lexon (UK) Ltd) 30 tablet (product)
17490811000001102,Amias 16mg tablets (Mawdsley-Brooks & Company Ltd) (product)
17490911000001107,Amias 16mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
17583111000001106,Amias 16mg tablets (Necessity Supplies Ltd) (product)
17583211000001100,Amias 16mg tablets (Necessity Supplies Ltd) 28 tablet (product)
908511000001100,Amias 16mg tablets (Neon Healthcare Ltd)
1351911000001103,Amias 16mg tablets (Neon Healthcare Ltd) 28 tablet 4 x 7 tablets
5444811000001101,Amias 16mg tablets (PI) (Dowelhurst Ltd) (product)
5444911000001106,Amias 16mg tablets (PI) (Dowelhurst Ltd) 28 tablet (product)
5331711000001103,Amias 16mg tablets (PI) (Waymade Ltd) (product)
5331911000001101,Amias 16mg tablets (PI) (Waymade Ltd) 28 tablet 2 x 14 tablets (product)
3332901000001100,Amias 2mg tablet
29959611000001109,Amias 2mg tablets (Lexon (UK) Ltd) (product)
29959711000001100,Amias 2mg tablets (Lexon (UK) Ltd) 7 tablet (product)
18483911000001108,Amias 2mg tablets (Mawdsley-Brooks & Company Ltd) (product)
18484011000001106,Amias 2mg tablets (Mawdsley-Brooks & Company Ltd) 7 tablet (product)
97311000001103,Amias 2mg tablets (Neon Healthcare Ltd)
1343911000001100,Amias 2mg tablets (Neon Healthcare Ltd) 7 tablet
29736811000001105,Amias 2mg tablets (Waymade Healthcare Plc) (product)
29736911000001100,Amias 2mg tablets (Waymade Healthcare Plc) 7 tablet (product)
8604301000001106,Amias 32mg tablet (product)
18545111000001109,Amias 32mg tablets (Doncaster Pharmaceuticals Ltd) (product)
18545211000001103,Amias 32mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
29959811000001108,Amias 32mg tablets (Lexon (UK) Ltd) (product)
29959911000001103,Amias 32mg tablets (Lexon (UK) Ltd) 28 tablet (product)
16260511000001102,Amias 32mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16260711000001107,Amias 32mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
8983911000001107,Amias 32mg tablets (Neon Healthcare Ltd)
8984011000001105,Amias 32mg tablets (Neon Healthcare Ltd) 28 tablet 4 x 7 tablets
21865611000001101,Amias 32mg tablets (Waymade Healthcare Plc) (product)
21865711000001105,Amias 32mg tablets (Waymade Healthcare Plc) 28 tablet (product)
3333001000001109,Amias 4mg tablet
13827311000001102,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) (product)
13827411000001109,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 28 tablet (product)
13827511000001108,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 30 tablet (product)
20163811000001102,Amias 4mg tablets (Doncaster Pharmaceuticals Ltd) 7 tablet (product)
19864311000001103,Amias 4mg tablets (Lexon (UK) Ltd) (product)
19864511000001109,Amias 4mg tablets (Lexon (UK) Ltd) 30 tablet (product)
16260211000001100,Amias 4mg tablets (Mawdsley-Brooks & Company Ltd) (product)
16260311000001108,Amias 4mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet (product)
17583411000001101,Amias 4mg tablets (Necessity Supplies Ltd) (product)
17583611000001103,Amias 4mg tablets (Necessity Supplies Ltd) 28 tablet (product)
857411000001100,Amias 4mg tablets (Neon Healthcare Ltd)
1351611000001109,Amias 4mg tablets (Neon Healthcare Ltd) 28 tablet 4 x 7 tablets
1351511000001105,Amias 4mg tablets (Neon Healthcare Ltd) 7 tablet
5519411000001104,Amias 4mg tablets (PI) (Dowelhurst Ltd) (product)
5519611000001101,Amias 4mg tablets (PI) (Dowelhurst Ltd) 28 tablet 2 x 14 tablets (product)
