REPO_PATH: code_lists/medications/blood pressure lowering/blood_pressure_drug_names.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/blood_pressure_drug_names.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/blood_pressure_drug_names.csv
FILE_NAME: blood_pressure_drug_names.csv

CONTENT_START
﻿drug_class,generic_name,brand_name
acei,Captopril,Acepril
acei,Captopril,Acezide
acei,Captopril,Capoten
acei,Captopril,Capozide
acei,Captopril,Capto-co
acei,Captopril,Captomex
acei,Captopril,Captopril
acei,Captopril,Co-zidocapt
acei,Captopril,Ecopace
acei,Captopril,Kaplon
acei,Captopril,Lopace
acei,Captopril,Vascace
acei,Cilazapril,Cilazapril
acei,Cilazapril,Tanatril
acei,Enalapril,Carace
acei,Enalapril,Caralpha
acei,Enalapril,Enalapril
acei,Enalapril,Innovace
acei,Enalapril,Innozide
acei,Enalapril,Noyada
acei,Enalapril,Pralenal
acei,Fosinopril,Fosinopril
acei,Imidapril,Imidapril
acei,Lisinopril,Lisicostad
acei,Lisinopril,Lisinopril
acei,Lisinopril,Lisopress
acei,Lisinopril,Lisoretic
acei,Lisinopril,Staril
acei,Lisinopril,Tensopril
acei,Lisinopril,Zestoretic
acei,Lisinopril,Zestril
acei,Perindopril,Coversyl
acei,Perindopril,Perindopril
acei,Quinapril,Accupro
acei,Quinapril,Accuretic
acei,Quinapril,Quinapril
acei,Quinapril,Quinil
acei,Ramipril,Ramipril
acei,Ramipril,Triapin
acei,Ramipril,Tritace
acei,Trandolapril,Gopten
acei,Trandolapril,Odrik
acei,Trandolapril,Tarka
acei,Trandolapril,Trandolapril
arb,Azilsartan,Azilsartan
arb,Azilsartan,Edarbi
arb,Candesartan,Amias
arb,Candesartan,Atacand
arb,Candesartan,Candesartan
arb,Eprosartan,Eprosartan
arb,Eprosartan,Teveten
arb,Irbesartan,Actelsar
arb,Irbesartan,Aprovel
arb,Irbesartan,Avapro
arb,Irbesartan,Ifirmasta
arb,Irbesartan,Irbesartan
arb,Losartan,Cozaar
arb,Losartan,Losartan
arb,Olmesartan,Benicar
arb,Olmesartan,Olmesartan
arb,Olmesartan,Olmetec
arb,Olmesartan,Sevikar
arb,Telmisartan,Micardis
arb,Telmisartan,Telmisartan
arb,Telmisartan,Tolucombi
arb,Telmisartan,Tolura
arb,Valsartan,Diovan
arb,Valsartan,Entresto
arb,Valsartan,Exforge
arb,Valsartan,Sabervel
arb,Valsartan,Valsartan
beta_blockers,Acebutolol,Acebutolol
beta_blockers,Acebutolol,Secadrex
beta_blockers,Acebutolol,Sectral
beta_blockers,Atenolol,Antipressan
beta_blockers,Atenolol,Apsolol
beta_blockers,Atenolol,Atenamin
beta_blockers,Atenolol,Atenix
beta_blockers,Atenolol,Atenolol
beta_blockers,Atenolol,Beta-Adalat
beta_blockers,Atenolol,Beta-Cardone
beta_blockers,Atenolol,Co-tenidone
beta_blockers,Atenolol,Kalten
beta_blockers,Atenolol,Slow-Pren
beta_blockers,Atenolol,Tenchlor
beta_blockers,Atenolol,Tenoret
beta_blockers,Atenolol,Tenoretic
beta_blockers,Atenolol,Tenormin
beta_blockers,Atenolol,Tensomex
beta_blockers,Betaxolol,Betaxolol
beta_blockers,Betaxolol,Kerlone
beta_blockers,Bisoprolol,Bipranix
beta_blockers,Bisoprolol,Bisoprolol
beta_blockers,Bisoprolol,Cardicor
beta_blockers,Bisoprolol,Congescor
beta_blockers,Bisoprolol,Emcor
beta_blockers,Bisoprolol,Monocor
beta_blockers,Bisoprolol,Monozide
beta_blockers,Bucindolol,Bucindolol
beta_blockers,Carteolol,Carteolol
beta_blockers,Carvedilol,Berkolol
beta_blockers,Carvedilol,Cartrol
beta_blockers,Carvedilol,Carvedilol
beta_blockers,Carvedilol,Eucardic
beta_blockers,Carvedilol,Onoact
beta_blockers,Carvedilol,Vivacor
beta_blockers,Celiprolol,Celectol
beta_blockers,Celiprolol,Celiprolol
beta_blockers,Esmolol,Brevibloc
beta_blockers,Esmolol,Esmolol
beta_blockers,Esmolol,Rapibloc
beta_blockers,Esmolol,Rapiblyk
beta_blockers,Esmolol,Raploc
beta_blockers,Esmolol,Rapranol
beta_blockers,Esmolol,Runrapiq
beta_blockers,Labetalol,Labetalol
beta_blockers,Labetalol,Labrocol
beta_blockers,Labetalol,Landibloc
beta_blockers,Labetalol,Trandate
beta_blockers,Landiolol,Landiolol
beta_blockers,Levobunolol,Levobunolol
beta_blockers,Metoprolol,Betaloc
beta_blockers,Metoprolol,Betim
beta_blockers,Metoprolol,Hypoloc
beta_blockers,Metoprolol,Lopranol
beta_blockers,Metoprolol,Lopresor
beta_blockers,Metoprolol,Lopresoretic
beta_blockers,Metoprolol,Mepranix
beta_blockers,Metoprolol,Metoprolol
beta_blockers,Metoprolol,Metoros
beta_blockers,Metoprolol,Prestim
beta_blockers,Metoprolol,Probeta
beta_blockers,Metoprolol,Soloc
beta_blockers,Metoprolol,Tenben
beta_blockers,Metoprolol,Tenif
beta_blockers,Metoprolol,Totamol
beta_blockers,Metoprolol,Totaretic
beta_blockers,Nadolol,Betadur
beta_blockers,Nadolol,Corgard
beta_blockers,Nadolol,Corgaretic
beta_blockers,Nadolol,Nadolol
beta_blockers,Nebivolol,Corbeta
beta_blockers,Nebivolol,Nebilet
beta_blockers,Nebivolol,Nebivolol
beta_blockers,Oxprenolol,Co-prenozide
beta_blockers,Oxprenolol,Oxprenolol
beta_blockers,Oxprenolol,Oxyprenix
beta_blockers,Oxprenolol,Trasicor
beta_blockers,Oxprenolol,Trasidrex
beta_blockers,Penbutolol,Lasipressin
beta_blockers,Penbutolol,Penbutolol
beta_blockers,Pindolol,Pindolol
beta_blockers,Pindolol,Viskaldix
beta_blockers,Pindolol,Visken
beta_blockers,Practolol,Practolol
beta_blockers,Propranolol,Angilol
beta_blockers,Propranolol,Bedranol
beta_blockers,Propranolol,Dupromex
beta_blockers,Propranolol,Inderal
beta_blockers,Propranolol,Inderetic
beta_blockers,Propranolol,Inderex
beta_blockers,Propranolol,Moducren
beta_blockers,Propranolol,Propanix
beta_blockers,Propranolol,Propranolol
beta_blockers,Propranolol,Slo-Pro
beta_blockers,Propranolol,Sloprolol
beta_blockers,Propranolol,Spiroprop
beta_blockers,Propranolol,Syprol
beta_blockers,Sotalol,Beta-Prograne
beta_blockers,Sotalol,Sotacor
beta_blockers,Sotalol,Sotalol
beta_blockers,Sotalol,Sotazide
beta_blockers,Sotalol,Tolerzide
beta_blockers,Timolol,Blocadren
beta_blockers,Timolol,Timolol
ca_channel_blockers,Amlodipine,Adipine
ca_channel_blockers,Amlodipine,Amlodipine
ca_channel_blockers,Amlodipine,Amlostin
ca_channel_blockers,Amlodipine,Angiopine
ca_channel_blockers,Amlodipine,Angitil
ca_channel_blockers,Amlodipine,Ethimil
ca_channel_blockers,Amlodipine,Exforge
ca_channel_blockers,Amlodipine,Istin
ca_channel_blockers,Amlodipine,Kentipine
ca_channel_blockers,Amlodipine,Kenzem
ca_channel_blockers,Amlodipine,Molap
ca_channel_blockers,Amlodipine,Motens
ca_channel_blockers,Amlodipine,Norvasc
ca_channel_blockers,Amlodipine,Optil
ca_channel_blockers,Amlodipine,Parmid
ca_channel_blockers,Amlodipine,Ranvera
ca_channel_blockers,Amlodipine,Securon
ca_channel_blockers,Amlodipine,Sevikar
ca_channel_blockers,Amlodipine,Syscor
ca_channel_blockers,Amlodipine,Tarka
ca_channel_blockers,Amlodipine,Tenif
