REPO_PATH: code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/blood pressure lowering/thiazide_diuretics_dmd.csv
FILE_NAME: thiazide_diuretics_dmd.csv

CONTENT_START
dmd_code,term
774406005,Acebutolol + Hydrochlorothiazide
774406005,Acebutolol + Hydrochlorothiazide
777957007,Xipamide
775219003,Chlortalidone
774764005,Bendroflumethiazide
775188008,Chlorothiazide
775419001,Cyclopenthiazide
774819003,Triamterene + Benzthiazide
775221008,Triamterene + Chlortalidone
776226009,Hydrochlorothiazide
776226009,Hydrochlorothiazide
776229002,Lisinopril + Hydrochlorothiazide
776229002,Lisinopril + Hydrochlorothiazide
776239008,Telmisartan + Hydrochlorothiazide
776239008,Telmisartan + Hydrochlorothiazide
776242002,Valsartan + Hydrochlorothiazide
776242002,Valsartan + Hydrochlorothiazide
776319007,Indapamide
776769002,Metolazone
774686002,Atenolol + Bendroflumethiazide
774766007,Bendroflumethiazide + Potassium
777251001,Polythiazide
774765006,Nadolol + Bendroflumethiazide
776227000,Irbesartan + Hydrochlorothiazide
776227000,Irbesartan + Hydrochlorothiazide
776232004,Metoprolol + Hydrochlorothiazide
776232004,Metoprolol + Hydrochlorothiazide
395439003,Perindopril + Indapamide
9854711000001109,Amiloride + Cyclopenthiazide - invalid
18036711000001103,Co-amilozide
776262005,Hydroflumethiazide + Spironolactone
18037611000001109,Co-zidocapt
18037211000001107,Co-prenozide
18037411000001106,Co-tenidone
18037711000001100,Co-triamterzide
774881005,Bisoprolol + Hydrochlorothiazide
774881005,Bisoprolol + Hydrochlorothiazide
774769000,Timolol + Bendroflumethiazide
775191008,Spironolactone + Chlorothiazide
775759004,Enalapril + Hydrochlorothiazide
775759004,Enalapril + Hydrochlorothiazide
776236001,Quinapril + Hydrochlorothiazide
776236001,Quinapril + Hydrochlorothiazide
774768008,Propranolol + Bendroflumethiazide
774538002,Amiloride + Cyclopenthiazide
776230007,Losartan + Hydrochlorothiazide
776230007,Losartan + Hydrochlorothiazide
776234003,Olmesartan + Hydrochlorothiazide
776234003,Olmesartan + Hydrochlorothiazide
774541006,Timolol + Amiloride + Hydrochlorothiazide
774541006,Timolol + Amiloride + Hydrochlorothiazide
774559009,Olmesartan + Amlodipine + Hydrochlorothiazide
774559009,Olmesartan + Amlodipine + Hydrochlorothiazide
22209311000001103,Perindopril arginine + Indapamide
22209411000001105,Perindopril erbumine + Indapamide
22209511000001109,Perindopril tosilate + Indapamide
44310311000001105,Co-flumactone
1002011000001103,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
1002011000001103,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
10036311000001104,Chlorothiazide + Spironolactone (product)
10040611000001108,Enalapril + Hydrochlorothiazide (product)
10040611000001108,Enalapril + Hydrochlorothiazide (product)
10045511000001104,Hydrochlorothiazide + Quinapril (product)
10045511000001104,Hydrochlorothiazide + Quinapril (product)
10051111000001109,Bendroflumethiazide + Propranolol (product)
1007111000001100,Bendroflumethiazide 5mg tablets 28 tablet (product)
10106601000001105,Indipam XL
10109601000001101,Mapemid XL
101411000001108,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd) (product)
1017311000001100,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
1017311000001100,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
10196511000001106,Amiloride + Cyclopenthiazide (product)
10201811000001104,Hydrochlorothiazide + Losartan (product)
10201811000001104,Hydrochlorothiazide + Losartan (product)
10261411000001102,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
10261411000001102,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets 28 tablet (product)
10261511000001103,Olmetec Plus 20mg/12.5mg tablets (Sankyo Pharma UK) (product)
10261611000001104,Olmetec Plus 20mg/12.5mg tablets (Daiichi Sankyo UK Ltd) 28 tablet 2 x 14 tablets (product)
