REPO_PATH: code_lists/medications/diabetes/insulin_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/insulin_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/insulin_dmd.csv
FILE_NAME: insulin_dmd.csv

CONTENT_START
dmd_code,term,drug_substance
10093211000001106,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices 5 pre-filled disposable injection (product),Bolus insulin
10093311000001103,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi),Bolus insulin
10093411000001105,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi) 5 pre-filled disposable injection,Bolus insulin
10097211000001102,Insulin glulisine 100 unit/ml solution for injection 3 ml pre-filled disposable injection,Bolus insulin
10250211000001101,Lantus OptiClik 100units/ml solution for injection 3ml cartridges (sanofi-aventis) (product),Basal insulin
10250311000001109,Lantus OptiClik 100units/ml solution for injection 3ml cartridges (sanofi-aventis) 5 cartridge (product),Basal insulin
10344811000001103,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges 5 cartridge (product),Mix insulin
10344911000001108,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly & Co Ltd) (product),Bolus insulin
10345011000001108,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly & Co Ltd) 5 cartridge (product),Bolus insulin
10352711000001104,Insulin lispro (as insulin lispro protamine) 50 unit/ml and insulin lispro 50 unit/ml suspension for injection 3 ml cartridge,Bolus insulin
10534811000001104,NovoRapid 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) (product),Bolus insulin
10534911000001109,NovoRapid 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) 1 vial (product),Bolus insulin
10542211000001105,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Bolus insulin
10542311000001102,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Bolus insulin
10542811000001106,Humalog 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) (product),Bolus insulin
10542911000001101,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (PI) (Waymade Ltd) (product),Mix insulin
10543011000001109,Humalog 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) 1 vial (product),Bolus insulin
10543111000001105,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (PI) (Waymade Ltd) 5 cartridge (product),Mix insulin
10543211000001104,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc),Bolus insulin
10548211000001107,Lantus 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) (product),Basal insulin
10548311000001104,Lantus 100units/ml solution for injection 10ml vials (PI) (Waymade Ltd) 1 vial (product),Basal insulin
10548611000001109,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Waymade Healthcare Plc),Basal insulin
10548811000001108,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Basal insulin
10549011000001107,Lantus 100units/ml solution for injection 3ml cartridges (PI) (Waymade Ltd) (product),Basal insulin
10549211000001102,Lantus 100units/ml solution for injection 3ml cartridges (PI) (Waymade Ltd) 5 cartridge (product),Basal insulin
10550911000001103,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) 5 pre-filled disposable injection,Bolus insulin
1055241000,Insulin isophane biphasic porcine,Mix insulin
10659811000001107,Exubera kit (Pfizer Ltd) (physical object),Bolus insulin
10660011000001100,Exubera insulin release unit (Pfizer Ltd) (physical object),Bolus insulin
10660111000001104,Exubera insulin release unit (Pfizer Ltd) 6 device (physical object),Bolus insulin
10660211000001105,Exubera chamber (Pfizer Ltd) (physical object),Bolus insulin
10660311000001102,Exubera chamber (Pfizer Ltd) 1 device (physical object),Bolus insulin
10660511000001108,Exubera kit (Pfizer Ltd) 1 kit (physical object),Bolus insulin
10690411000001106,Insulin human 1mg inhalation powder blisters 90 blister (product),NA
10690511000001105,Exubera 1mg inhalation powder blisters (Pfizer Ltd) (product),Bolus insulin
10690611000001109,Exubera 1mg inhalation powder blisters (Pfizer Ltd) 90 blister 3 x (5 card (6 blisters)) (product),Bolus insulin
10690711000001100,Insulin human 3mg inhalation powder blisters 90 blister (product),NA
10690811000001108,Exubera 3mg inhalation powder blisters (Pfizer Ltd) (product),Bolus insulin
10690911000001103,Exubera 3mg inhalation powder blisters (Pfizer Ltd) 90 blister 3 x (5 card (6 blisters)) (product),Bolus insulin
10702911000001109,Insulin human (product),NA
10703011000001101,Insulin human 1 mg inhalation powder 1 actuation actuation,NA
10703111000001100,Insulin human 3 mg inhalation powder 1 actuation actuation,NA
10707801000001103,Humulin I KwikPen,Intermediate insulin
10707901000001109,Humulin M3 KwikPen,Mix insulin
1071301000001104,Human Actrapid 100iu/mL injection 10mL,Bolus insulin
1071401000001107,Human Actrapid 100iu/mL Penfill cartridge 1.5mL,Bolus insulin
1071501000001106,Human Insulatard 100iu/mL preloaded injection pen 3mL,Intermediate insulin
10898411000001103,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (sanofi-aventis) (product),Bolus insulin
10898511000001104,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (sanofi-aventis) 5 cartridge (product),Bolus insulin
11013401000001101,INSUMAN COMB 25 SOLOSTAR 100iu/mL prefilled pen 3mL,Mix insulin
11031301000001100,HUMULIN I KWIKPEN 100iu/mL prefilled pen 3mL,Intermediate insulin
11032501000001103,HUMALOG KWIKPEN 100iu/mL prefilled pen 3mL,Bolus insulin
11049301000001100,HUMULIN M3 KWIKPEN 100iu/mL prefilled pen 3mL,Mix insulin
11077001000001107,NovoRapid FlexTouch,Bolus insulin
1108101000001109,Human Mixtard 10 prefilled pen,Mix insulin
1108201000001102,Human Mixtard 20 prefilled pen,Mix insulin
1108301000001106,Human Mixtard 40 prefilled pen,Mix insulin
1108401000001103,Human Mixtard 50 prefilled pen,Mix insulin
