REPO_PATH: code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv
FILE_NAME: non_insulin_dm_meds_dmd.csv

CONTENT_START
dmd_code,term,drug_class_1,drug_class_2,drug_substance_1,drug_substance_2
774404008,Acarbose,Acarbose,NA,Acarbose,NA
776713006,Metformin,MFN,NA,Metformin,NA
776716003,Rosiglitazone + Metformin,MFN,TZD,Metformin,Rosiglitazone
776112007,Glipizide,SU,NA,Glipizide,NA
776108001,Gliclazide,SU,NA,Gliclazide,NA
775217001,Chlorpropamide,SU,NA,Chlorpropamide,NA
777798008,Tolbutamide,SU,NA,Tolbutamide,NA
776109009,Glimepiride,SU,NA,Glimepiride,NA
776114008,Gliquidone,SU,NA,Gliquidone,NA
777469008,Rosiglitazone,TZD,NA,Rosiglitazone,NA
777419000,Repaglinide,Glinide,NA,Repaglinide,NA
776878002,Nateglinide,Glinide,NA,Nateglinide,NA
777205002,Pioglitazone,TZD,NA,Pioglitazone,NA
776105003,Glibenclamide,SU,NA,Glibenclamide,NA
776714000,Pioglitazone + Metformin,MFN,TZD,Metformin,Pioglitazone
777541003,Sitagliptin,DPP4,NA,Sitagliptin,NA
775913009,Exenatide,GLP1,NA,Exenatide,NA
1172786009,Vildagliptin + Metformin,MFN,DPP4,Metformin,Vildagliptin
777934001,Vildagliptin,DPP4,NA,Vildagliptin,NA
776548002,Liraglutide,GLP1,NA,Liraglutide,NA
777501007,Saxagliptin,DPP4,NA,Saxagliptin,NA
776717007,Sitagliptin + Metformin,MFN,DPP4,Metformin,Sitagliptin
776541008,Linagliptin,DPP4,NA,Linagliptin,NA
776542001,Linagliptin + Metformin,DPP4,MFN,Linagliptin,Metformin
775447002,Dapagliflozin,SGLT2,NA,Dapagliflozin,NA
784227008,Saxagliptin + Metformin,MFN,DPP4,Metformin,Saxagliptin
776560001,Lixisenatide,GLP1,NA,Lixisenatide,NA
774490009,Alogliptin,DPP4,NA,Alogliptin,NA
1208565007,Alogliptin + Metformin,DPP4,MFN,Alogliptin,Metformin
1303102000,Dapagliflozin + Metformin,SGLT2,MFN,Dapagliflozin,Metformin
775025005,Canagliflozin,SGLT2,NA,Canagliflozin,NA
775752008,Empagliflozin,SGLT2,NA,Empagliflozin,NA
775026006,Canagliflozin + Metformin,SGLT2,MFN,Canagliflozin,Metformin
776341007,Insulin degludec + Liraglutide,GLP1,NA,Liraglutide,NA
775712006,Dulaglutide,GLP1,NA,Dulaglutide,NA
775754009,Empagliflozin + Metformin,SGLT2,MFN,Empagliflozin,Metformin
774449006,Albiglutide,GLP1,NA,Albiglutide,NA
777796007,Tolazamide,SU,NA,Tolazamide,NA
1303123006,Saxagliptin + Dapagliflozin,SGLT2,DPP4,Dapagliflozin,Saxagliptin
775821002,Ertugliflozin,SGLT2,NA,Ertugliflozin,NA
36630811000001108,Insulin glargine + Lixisenatide,GLP1,NA,Lixisenatide,NA
775753003,Empagliflozin + Linagliptin,SGLT2,DPP4,Empagliflozin,Linagliptin
41145911000001106,Tirzepatide,GIPGLP1,NA,Tirzepatide,NA
1007311000001103,Repaglinide 2mg tablets 90 tablet (product),Glinide,NA,Repaglinide,NA
1011011000001108,Pioglitazone 15mg tablets 28 tablet (product),TZD,NA,Pioglitazone,NA
10120501000001103,METFORMIN HYDROCHLORIDE 1000mg m/r tablets (product),MFN,NA,Metformin,NA
1012711000001103,Metformin 850mg tablets 56 tablet (product),MFN,NA,Metformin,NA
10154911000001102,Glimepiride 1mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155011000001102,Glimepiride 1mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155111000001101,Glimepiride 2mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155211000001107,Glimepiride 2mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155311000001104,Glimepiride 3mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155411000001106,Glimepiride 3mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155511000001105,Glimepiride 4mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155611000001109,Glimepiride 4mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10162311000001102,Metformin 500mg tablets (Viatris UK Healthcare Ltd) 28 tablet 2 x 14 tablets,MFN,NA,Metformin,NA
10272611000001100,Glimepiride 1mg tablets (Unichem Plc) (product),SU,NA,Glimepiride,NA
10272711000001109,Glimepiride 1mg tablets (Unichem Plc) 30 tablet (product),SU,NA,Glimepiride,NA
10272911000001106,Glimepiride 4mg tablets (Unichem Plc) (product),SU,NA,Glimepiride,NA
10273011000001103,Glimepiride 4mg tablets (Unichem Plc) 30 tablet (product),SU,NA,Glimepiride,NA
10273811000001109,Glimepiride 1mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10273911000001104,Glimepiride 1mg tablets (A A H Pharmaceuticals Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10274011000001101,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274111000001100,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd) 30 tablet,SU,NA,Glimepiride,NA
10274311000001103,Glimepiride 3mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274411000001105,Glimepiride 3mg tablets (A A H Pharmaceuticals Ltd) 30 tablet,SU,NA,Glimepiride,NA
10274511000001109,Glimepiride 4mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274611000001108,Glimepiride 4mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10292611000001107,Metformin 500mg tablets (Relonchem Ltd) (product),MFN,NA,Metformin,NA
10293111000001105,Metformin 500mg tablets (Relonchem Ltd) 28 tablet (product),MFN,NA,Metformin,NA
10293211000001104,Metformin 500mg tablets (Relonchem Ltd) 500 tablet (product),MFN,NA,Metformin,NA
10293511000001101,Metformin 850mg tablets (Relonchem Ltd) (product),MFN,NA,Metformin,NA
10293811000001103,Metformin 850mg tablets (Relonchem Ltd) 56 tablet (product),MFN,NA,Metformin,NA
10294111000001107,Metformin 850mg tablets (Relonchem Ltd) 300 tablet (product),MFN,NA,Metformin,NA
10377311000001104,Glibenclamide 2.5mg tablets (Arrow Generics Ltd) (product),SU,NA,Glibenclamide,NA
10377511000001105,Glibenclamide 2.5mg tablets (Arrow Generics Ltd) 28 tablet (product),SU,NA,Glibenclamide,NA
10377711000001100,Glibenclamide 5mg tablets (Arrow Generics Ltd) (product),SU,NA,Glibenclamide,NA
10378011000001101,Glibenclamide 5mg tablets (Arrow Generics Ltd) 28 tablet (product),SU,NA,Glibenclamide,NA
10378111000001100,Gliclazide 80mg tablets (Arrow Generics Ltd) (product),SU,NA,Gliclazide,NA
10378311000001103,Gliclazide 80mg tablets (Arrow Generics Ltd) 60 tablet (product),SU,NA,Gliclazide,NA
10380601000001101,LIRAGLUTIDE,GLP1,NA,Liraglutide,NA
10380801000001102,LIRAGLUTIDE 6mg/mL solution for injection prefilled pen,GLP1,NA,Liraglutide,NA
10380901000001108,SAXAGLIPTIN,DPP4,NA,Saxagliptin,NA
10381101000001103,SAXAGLIPTIN 5mg tablets,DPP4,NA,Saxagliptin,NA
